                frame                 | number |       log        
 a184ca43-df58-4764-a600-e7efa614a530 |     37 | 5.92094588306085
 d4808846-2710-4ca2-b7c1-118408c0874c |     38 | 5.91521982257383
 fc2fef63-175e-4da9-86c9-e6c0f80c458e |     39 | 6.01311634666947
 b8486a2b-3f21-4499-8dc3-5d3b615d002d |     40 | 5.99262885985789
 7b949961-13aa-40ce-8534-381ffa065b00 |     41 | 5.95120105721688
 95e44370-9991-4fc0-ade0-d33e44b85cd0 |     42 | 5.96699333643629
 943a1cc7-e144-4e79-9209-599f9aaa3434 |     43 | 5.96309052122423
 cbe192e3-48fa-47b9-b183-eec5d810a6bd |     44 | 5.94108532627978
 58170630-9d26-4840-87f5-0ec697b02529 |     45 |  5.9396979039392
 ba04e981-ef58-41f2-b6a2-c6bf1e3efbdb |     46 | 5.93671101001218
 c830085d-c098-428d-b11f-130ff9dab1f0 |     47 |   5.932496308818
 61c99c05-6480-43ec-8cd0-f7de44af862a |     48 | 5.93971864155979
 b8e1a31d-a79a-472e-b6e1-7cc8bd405612 |     49 | 5.97898507801684
 1f0cf8b1-1aae-4537-9b96-dabdf27ec610 |     50 | 5.98810876421855
 26736788-1c28-4c02-ab58-fc28c8ff3412 |     51 | 5.95035747174042
 62dc251c-529f-42f4-966e-3073efbbc479 |     52 | 5.94091586917875
 b6d1720b-6325-46c1-99dd-cd25986c5daf |     53 | 5.93252704385186
 724a8ad4-2bf6-4b91-87a8-33d81b7d6fed |     54 | 5.95456870029517
 a5a2db7d-edf7-44d0-9507-21bd8d3758e3 |     55 | 5.94710213221954
 b36a68ce-b643-4235-92a1-ab81db5be7df |     56 | 5.94513084160367
 b1d72135-348a-4d5e-b570-0908ec96aefb |     57 | 5.93143036709243
 a95cc967-6f79-478c-aa9a-722d955abc39 |     58 |  5.9519627966899
 17dffc93-ee1c-493b-95e5-0efd222bfc35 |     59 | 6.02161631686094
 60136142-c452-48dd-ab94-daaadeca2d04 |     60 | 5.94728474743535
 2f8f4b35-f85a-4463-9e1d-66bbe946674b |     61 | 5.89992030678409
 91b4503e-fd46-4d07-b20c-6485fd022044 |     62 | 5.92102264462102
 4717b8ea-b911-49d7-a3b4-948291cef173 |     63 | 5.92721585338431
 75141e78-7540-425c-94b0-aa6116e551a1 |     64 | 5.91319745436016
 54993c0c-6378-4f3c-92d7-a897c880fa43 |     65 | 5.93041391722338
 a96d7743-bbc8-468f-8372-670c1f240185 |     66 | 5.92514796352559
 52f43465-0f0f-40d8-a932-75f5b45d4e1e |     67 | 5.91653137013098
 e6c45a8a-f4f3-4033-b13b-ce5f46eac8b8 |     68 | 5.90426898948127
 2d556c5c-36fd-49bc-81f0-ce8c5f142ad0 |     69 | 6.02792911738646
 3c7ce68f-e798-4d1b-b0cc-c275471d334a |     70 | 5.95164008593308
 07e74f91-fd66-4853-8bd2-ac5eaedce73d |     71 | 5.93182434178877
 8a0bb7cc-f630-4340-ae2f-157ee3944491 |     72 | 5.91355017257084
 0ad47164-4623-42ed-998b-570d3451ca09 |     73 | 5.90810736184546
 9b3b4e7c-8ba3-4db3-a856-73277ae109b3 |     74 | 5.90041744185297
 1638466f-b0d3-41c3-82ce-8d51b0496d78 |     75 | 5.91100408109732
 caab895c-6801-4533-8117-d658899ce681 |     76 | 5.91985643708438
 5ef790b4-b503-45d0-95f6-9d0a0f4710ab |     77 | 5.90708208614018
 46e94b09-a551-4b46-81a3-16b94e662f50 |     78 | 5.91639658935224
 fc0f1216-b0ed-41ac-abbe-03fdc46ac685 |     79 | 6.02352271010134
